acta_id,fecha,titulo,taxonomias,confianza,nota
decada_votada:sen:1686,2012-04-26,"Dictamen en el Mensaje y Proyecto de ley declarando de utilidad pública y sujeto a expropiación el 51% del Patrimonio de YPF S.A, representado por igual porcentaje de las acciones clase «D» de dicha empresa pertenecientes a Repsol YPF S.A, sus controlantes o controladas en forma directa e indirecta, Orden del Día 148, Anexo y complemento (PE-27/12). Votacion en particular Título I - Artículo 1° Observaciones: Dictamen de Mayoría. con modificaciones",ENER.HIDRO|DESREG.EMPUB,alta,expropiacion YPF
decada_votada:sen:1733,2012-09-05,"Dictamen en el proyecto de ley declarando de utilidad pública y sujeto a expropiación un inmueble sobre la Ruta Nacional n° 86, en el Departamento - Gral San Martín, Provincia de Salta - S-843/12, Votación en general y en particular - sobre tablas . Dictamen de la cámara en comisión -",DERSOC.ORIGIN,baja,expropiacion inmueble Salta ruta 86 (probable tierras comunidad); titulo insuficiente
decada_votada:sen:1772,2012-11-14,"Dictamenes de la comisión Parlamentaria Mixta Revisora de Cuentas de la Administración en los siguientes expedientes: Orden del Día 1355 y Anexo. Orden del Día 1357 y Anexo, Votación en general y en particular",POLINST.ORGEST,baja,GAP control parlamentario: cuentas de la Administracion
ckan_diputados:230,2013-06-05,Expedientes 31-JGM-10 y 14-JGM-11 - Orden del Día 1986 - Votación en General y Particular.-,OPACO,alta,titulo sin contenido tematico (expedientes JGM) — requiere PDF/expediente
decada_votada:sen:1929,2013-11-13,Proyecto de ley en revision modificando el art. 73 de la ley 20.744 (contrato de trabajo) sobre la libertad de expresión del trabajador en su ámbito laboral (CD–43/12).,TRAB.LABOR,alta,LCT libertad de expresion
decada_votada:sen:1888,2013-11-13,Dictamen en el mensaje y proyecto de ley del Poder Ejecutivo autorizando la entrada de tropas extranjeras al territorio nacional y la salida fuera de él de fuerzas nacionales (PE–125/13).,DEF.DEFENSA,alta,tropas
decada_votada:sen:1956,2014-04-30,Proyecto de Ley de Plan integral para el abordaje de los consumos problemáticos (CD-114/2012 - PL-S-637/2014 - PL-S-204/2014 - PL-S-1242/2013 - PL-S-731/2013 - PL-S-281/2013),SALUD.ADICC,alta,consumos problematicos
ckan_diputados:98,2014-10-23,Votación en General y Particular de Proyectos de Ley.,OPACO,alta,'Votacion en General y Particular de Proyectos de Ley' — sin tema
senado:462,2015-07-01,"MENSAJE Nº 1165/15 Y PROYECTO DE LEY ESTABLECIENDO QUE LAS ASIGNACIONES FAMILIARES PREVISTAS EN LA LEY 24.714, SUS NORMAS COMPLEMENTARIAS Y S/M, CON EXCEPCION DE LA ESTABLECIDA EN EL INCISO E) DEL ART. 6º DE LA MISMA, SERAN MOVILES. O.D. 346/2015 , Art. 3 , Art. 7 , Art. 8 [EN PARTICULAR]",TRAB.PREV,media,FRONTERA: asignaciones familiares TRAB.PREV vs DESSOC.ASIST — fijar regla
senado:516,2015-10-07,"Temas Varios Expedientes ( CD-42/15-PL , S-2129/15-PL , S-1338/15-PL , S-2720/15-PL , S-1667/14-PL , S-1272/14-PL , S-1671/14-PL , S-1695/14-PL , S-2164/14-PL , S-3051/14-PL , S-3126/14-PL , S-3748/14-PL [EN PARTICULAR]",OPACO,alta,'Temas Varios' — paquete de expedientes sin tema en el titulo
senado:88,2016-09-21,"MENSAJE N° 770/16 Y PROYECTO DE LEY CREANDO UN REGIMEN DE CONTRATACION PUBLICO - PRIVADA CELEBRADO ENTRE LA ADMINISTRACION PUBLICA NACIONAL, CENTRALIZADA Y DESCENTRALIZADA Y SUJETOS PRIVADOS. O.D. 640/2016 , Art. 4 [EN PARTICULAR]",PROD.INVER|INFRA.OBRA,media,regimen PPP
senado:125,2016-11-16,"MENSAJE N° 134/16 Y PROYECTO DE LEY APROBANDO EL PROTOCOLO DE ENMIENDA DEL ACUERDO DE MARRAKECH, POR EL QUE SE ESTABLECE LA ORGANIZACIÓN MUNDIAL DEL COMERCIO, HECHO EN LA CIUDAD DE GINEBRA -CONFEDERACION SUIZA, EL 27 DE NOVEMBRE DE 2014. PE-227/16-PL [EN PARTICULAR]",PROD.COMEX|DEF.TRATADO,alta,protocolo OMC Marrakech
ckan_diputados:3120,2016-11-23,Expediente 2427-D-2016 (y otros) Orden del Día 751 - Artículo 12.,OPACO,alta,expediente sin tema
senado:182,2016-11-30,"Temas Varios Expedientes ( S-4245/15-PL , S-4279/15-PL , Art. 17º (Ex Art15 Dic >) [EN PARTICULAR]",OPACO,alta,Temas Varios
senado:176,2016-11-30,"Temas Varios Expedientes ( S-4245/15-PL , S-4279/15-PL , Art. 12º [EN PARTICULAR]",OPACO,alta,Temas Varios
senado:216,2017-03-29,"Temas Varios Expedientes ( CD-83/16-PL , S-928/17-PC [EN PARTICULAR]",OPACO,alta,Temas Varios
senado:210,2017-03-29,"PROYECTO DE LEY EN REVISION SOBRE APOYO AL CAPITAL EMPRENDEDOR. O.D. 30/2017 , Art. 13 [EN PARTICULAR]",PROD.INVER|CYT.INNOV,alta,capital emprendedor
ckan_diputados:3334,2017-06-28,"Apartamiento del Reglamento solicitado por la Diputada SOSA, Soledad para tratar el Expediente 3453-D-17.",PROCEDIMENTAL,alta,apartamiento de reglamento
senado:342,2018-04-25,"URTUBEY Y GUASTAVINO: PROYECTO DE LEY QUE MODIFICA EL CODIGO PROCESAL PENAL DE LA NACION - LEY 27.063 - O.D. 35/2018 , Art. 25 [EN PARTICULAR]",JUST.PENAL,media,FRONTERA: Codigo PROCESAL Penal ¿JUST.PENAL o JUST.JUDIC? — fijar regla
ckan_diputados:3771,2018-04-25,Habilitar el Tratamiento del Expediente 1818-D-2018. Votación.,PROCEDIMENTAL,alta,habilitar tratamiento
senado:355,2018-06-27,"Temas Varios O.D. ( O.D. 98/2018 , O.D. 203/2018 [EN PARTICULAR]",OPACO,alta,Temas Varios OD
ckan_diputados:3871,2019-04-24,Expediente 2429-D-18 OD: 323. Votación en general y particular.,OPACO,alta,expediente sin tema
ckan_diputados:3900,2019-06-26,Expediente 2063-D-2019 - O.D. 1089 - Votación en General y Particular,OPACO,alta,expediente sin tema
ckan_diputados:3922,2019-11-20,Expediente 1039-D-2019 - Votación en General y Particular,OPACO,alta,expediente sin tema
senado:1200,2020-08-13,Modificación del Presupuesto para el año 2020. O.D. 112/2020 [EN PARTICULAR],ECON.PRESU,alta,modif presupuesto 2020
senado:1223,2020-10-15,"Declaración de Lugar Histórico Nacional del terreno donde se emplaza la Gruta en que fuera encontrada la Virgen del Valle, Catamarca. S-18/20-PL , O.D. 187/2020 [EN PARTICULAR]",CULT.CULTURA,alta,lugar historico Virgen del Valle
senado:1312,2021-07-15,Ley de facilitadores interculturales para el sistema de salud. O.D. 32/2021 [EN PARTICULAR],SALUD.SISTEMA|DERSOC.ORIGIN,alta,facilitadores interculturales
senado:1350,2021-12-09,Declaración de Interés Nacional a la Carta Acuerdo para el Proyecto del Corredor Bioceánico Ferroviario del NOA. O.D. 750/2021 [EN PARTICULAR],INFRA.TRANSP,alta,corredor bioceanico ferroviario
senado:1369,2022-06-30,"Alivio fiscal para pequeños contribuyentes y autónomos. CD-5/22-PL , O.D. 98/2022 [EN PARTICULAR]",ECON.TRIB,alta,alivio fiscal monotributo
senado:2376,2022-09-01,"Ley de promoción del desarrollo y la producción de la biotecnología moderna y la nanotecnología. CD-12/22-PL , O.D. 269/2022 [EN PARTICULAR]",CYT.INNOV,alta,biotecnologia y nanotecnologia
argentinadatos:diputados:4813,2023-07-05,APARTAMIENTO DE REGLAMENTO SOLICITADO POR EL DIP. LOMBARDI.,PROCEDIMENTAL,alta,apartamiento
senado:2420,2023-09-28,Creación de la Universidad Nacional del Delta. O.D. 203/2023 [EN PARTICULAR],EDU.SUPERIOR,alta,Universidad del Delta
argentinadatos:diputados:5261,2024-06-05,"O.D. 65 - LEY 24.241, DE SISTEMA INTEGRADO DE JUBILACIONES Y PENSIONES. MODIFICACION. DICTAMEN DE MINORIA 1. VOT. EN GRAL.",TRAB.PREV,alta,reforma jubilatoria 2024
argentinadatos:diputados:5494,2024-11-28,O.D. 661 - LEY DE PREVENCIÓN DE LUDOPATÍA Y REG. DE JUEGOS DE AZAR Y APUESTAS EN LÍNEA EN TODO EL TERRITORIO DE LA REP. ARG. ART. 15.,SALUD.ADICC,alta,ludopatia — regla de frontera del vocabulario aplica perfecto
argentinadatos:diputados:5502,2024-11-28,O.D. 661 - LEY DE PREVENCIÓN DE LUDOPATÍA Y REG. DE JUEGOS DE AZAR Y APUESTAS EN LÍNEA EN TODO EL TERRITORIO DE LA REP. ARG. ART. 23.,SALUD.ADICC,alta,idem
argentinadatos:diputados:5497,2024-11-28,O.D. 661 - LEY DE PREVENCIÓN DE LUDOPATÍA Y REG. DE JUEGOS DE AZAR Y APUESTAS EN LÍNEA EN TODO EL TERRITORIO DE LA REP. ARG. ART. 18.,SALUD.ADICC,alta,idem
argentinadatos:senado:2527,2025-02-20,Habilitación del tratamiento sobre tablas del proyecto para el pedido de informes al Poder Ejecutivo Nacional sobre la criptomoneda $LIBRA.,POLINST.ETICA,media,GAP control parlamentario: pedido de informes $LIBRA
argentinadatos:diputados:5620,2025-04-08,"O.D. 761 - INTERPELACIONES A DISTINTOS FUNCIONARIOS DEL P. E., S/ EL CASO DE LA CRIPTOMONEDA $LIBRA.",POLINST.ETICA,media,GAP control parlamentario: interpelaciones $LIBRA
argentinadatos:diputados:5782,2025-10-09,"MOCIÓN DE EMPLAZAMIENTO SOLICITADA POR EL DIP. KIRCHNER, MÁXIMO.",PROCEDIMENTAL,alta,mocion de emplazamiento
