BLOQUE,APELLIDO,NOMBRE,PROVINCIA,PARTIDO O ALIANZA POR EL QUE INGRESÓ,DESIGNACIÓN LEGAL,CESE LEGAL,DESIGNACIÓN REAL,CESE REAL,EMAIL,TELEFONO,FACEBOOK,TWITTER,INSTAGRAM,YOUTUBE
LA LIBERTAD AVANZA,BEDIA,VILMA FACUNDA,JUJUY,PARTIDO RENOVADOR FEDERAL,2023-12-10,2029-12-09,2023-12-10,Sin Datos,vilma.bedia@senado.gob.ar,3415 / 3416,,,,
LA LIBERTAD AVANZA,BENEGAS LYNCH,JOAQUÍN ALBERTO,ENTRE RÍOS,ALIANZA LA LIBERTAD AVANZA,2025-12-10,2031-12-09,2025-12-10,Sin Datos,joaquin.benegaslynch@senado.gob.ar,3580 / 3581,,,,
JUSTICIALISTA,BENSUSÁN,DANIEL PABLO,LA PAMPA,FRENTE DE TODOS,2021-12-10,2027-12-09,2021-12-10,Sin Datos,daniel.bensusan@senado.gob.ar,1305 / 1307 / 1310,https://www.facebook.com/dpbensusan,https://twitter.com/palibensusan?s=11,https://www.instagram.com/palibensusan/,https://youtube.com/channel/UCVGEIDtt26DtcpADWXGLkDg
LA LIBERTAD AVANZA,BULLRICH,PATRICIA,CIUDAD AUTÓNOMA DE BUENOS AIRES,ALIANZA LA LIBERTAD AVANZA,2025-12-10,2031-12-09,2025-12-10,Sin Datos,patricia.bullrich@senado.gob.ar,1153 / 8751,,,,
JUSTICIALISTA,CAPITANICH,JORGE MILTON,CHACO,FUERZA PATRIA,2025-12-10,2031-12-09,2025-12-10,Sin Datos,jorge.capitanich@senado.gob.ar,1355 / 1156,,,,
MOVERE SANTA CRUZ,CARAMBIA,JOSÉ MARÍA,SANTA CRUZ,ALIANZA POR SANTA CRUZ,2023-12-10,2029-12-09,2023-12-10,Sin Datos,jose.carambia@senado.gob.ar,3408 / 3410,,,,
LA LIBERTAD AVANZA,CERVI,MARIO PABLO,NEUQUÉN,ALIANZA LA LIBERTAD AVANZA,2025-12-10,2031-12-09,2025-12-10,Sin Datos,mario.cervi@senado.gob.ar,1060 / 3779,https://www.facebook.com/CerviPablo,https://twitter.com/CerviPablo,https://www.instagram.com/CerviPablo,
JUSTICIALISTA,CORPACCI,LUCÍA BENIGNA,CATAMARCA,FRENTE DE TODOS,2021-12-10,2027-12-09,2021-12-10,Sin Datos,lucia.corpacci@senado.gob.ar,1435 / 1403,,,,
LA NEUQUINIDAD,CORROZA,JULIETA,NEUQUÉN,LA NEUQUINIDAD,2025-12-10,2031-12-09,2025-12-10,Sin Datos,julieta.corroza@senado.gob.ar,1491 / 1493,,,,
LA LIBERTAD AVANZA,COTO,AGUSTÍN PEDRO,"TIERRA DEL FUEGO, ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR",ALIANZA LA LIBERTAD AVANZA,2025-12-10,2031-12-09,2025-12-10,Sin Datos,agustin.coto@senado.gob.ar,3302 / 3390,,https://twitter.com/agustinpcoto,https://www.instagram.com/agustinpedrocoto,
FRENTE PRO,CRISTINA,ANDREA MARCELA,CHUBUT,JUNTOS POR EL CAMBIO CHUBUT,2021-12-10,2027-12-09,2023-12-10,Sin Datos,andrea.cristina@senado.gob.ar,3451 / 3453,https://www.facebook.com/AndreaCristina.Chubut?mibextid=LQQJ4d,https://x.com/andycristina07?s=11,https://www.instagram.com/andreacristina.chubut?igsh=Y2hzbzE3MWEyaGxl,
JUSTICIALISTA,DE PEDRO,EDUARDO ENRIQUE,BUENOS AIRES,ALIANZA UNIÓN POR LA PATRIA,2023-12-10,2029-12-09,2023-12-10,Sin Datos,eduardo.depedro@senado.gob.ar,1315 / 1318,https://www.facebook.com/wadodecorrido,https://twitter.com/wadodecorrido,https://www.instagram.com/wadodecorrido,https://www.youtube.com/wadodecorrido
JUSTICIALISTA,DI TULLIO,JULIANA,BUENOS AIRES,ALIANZA UNIÓN POR LA PATRIA,2023-12-10,2029-12-09,2023-12-10,Sin Datos,juliana.ditullio@senado.gob.ar,1084 / 1098,,,,
PROVINCIAS UNIDAS,ESPÍNOLA,CARLOS MAURICIO,CORRIENTES,FRENTE TODOS,2021-12-10,2027-12-09,2021-12-10,Sin Datos,carlos.espinola@senado.gob.ar,1218 / 3190,,https://twitter.com/espinolacamau,,
UCR - UNIÓN CÍVICA RADICAL,FAMA,FLAVIO SERGIO,CATAMARCA,JUNTOS POR EL CAMBIO,2021-12-10,2027-12-09,2021-12-10,Sin Datos,flavio.fama@senado.gob.ar,1395 / 3515,https://www.facebook.com/flaviofamaoficial,https://twitter.com/ flaviofama,https://instagram.com/flaviofamaoficial,
JUSTICIALISTA,FERNÁNDEZ SAGASTI,ANABEL,MENDOZA,JUSTICIALISTA,2021-12-10,2027-12-09,2021-12-10,Sin Datos,anabel.fernandezsagasti@senado.gob.ar,1535 / 1467,https://www.facebook.com/anabelfsagasti,https://twitter.com/anabelfsagasti,https://www.instagram.com/anabelfsagasti,https://www.youtube.com/anabelfsagasti
LA LIBERTAD AVANZA,FULLONE,ENZO PAOLO,RÍO NEGRO,ALIANZA LA LIBERTAD AVANZA,2025-12-26,2031-12-09,2025-12-26,Sin Datos,enzo.fullone@senado.gob.ar,3589 / 3591,,,,
MOVERE SANTA CRUZ,GADANO,NATALIA ELENA,SANTA CRUZ,ALIANZA POR SANTA CRUZ,2023-12-10,2029-12-09,2023-12-10,Sin Datos,natalia.gadano@senado.gob.ar,3353 / 3358,,,,
UCR - UNIÓN CÍVICA RADICAL,GALARETTO,EDUARDO HORACIO,SANTA FE,JUNTOS POR EL CAMBIO,2021-12-10,2027-12-09,2023-12-10,Sin Datos,eduardo.galaretto@senado.gob.ar,3543 / 3544,,,,
JUSTICIALISTA,GIMÉNEZ NAVARRO,MARÍA CELESTE,SAN JUAN,ALIANZA UNIÓN POR LA PATRIA,2023-12-10,2029-12-09,2023-12-10,Sin Datos,mcgimeneznavarro@senado.gob.ar,1342 / 1332,,,,
LA LIBERTAD AVANZA,GODOY,JUAN CRUZ,CHACO,ALIANZA LA LIBERTAD AVANZA,2025-12-10,2031-12-09,2025-12-10,Sin Datos,juancruz.godoy@senado.gob.ar,3590 / 3588,,https://twitter.com/JuanCruzGodoy95,https://www.instagram.com/juancruzgodoy.lla,
FRENTE PRO,GOERLING LARA,ENRIQUE MARTÍN,MISIONES,JUNTOS POR EL CAMBIO,2023-12-10,2029-12-09,2023-12-10,Sin Datos,martin.goerling@senado.gob.ar,3126 / 3135,,,,
JUSTICIALISTA,GONZÁLEZ,MARÍA TERESA MARGARITA,FORMOSA,ALIANZA UNIÓN POR LA PATRIA,2023-12-10,2029-12-09,2023-12-10,Sin Datos,maria.gonzalez@senado.gob.ar,1325 /1327,,,,
LA LIBERTAD AVANZA,GUZMÁN CORAITA,GONZALO,SALTA,ALIANZA LA LIBERTAD AVANZA,2025-12-10,2031-12-09,2025-12-10,Sin Datos,gonzalo.guzman@senado.gob.ar,3550 / 3552,https://www.facebook.com/gonzalo.guzman.7,,https://www.instagram.com/gonzaloguzmanc?igsh=MWFsdWRsdWFmaXlkOQ==,
FRENTE PRO,HUALA,MARÍA VICTORIA,LA PAMPA,JUNTOS POR EL CAMBIO,2021-12-10,2027-12-09,2021-12-10,Sin Datos,victoria.huala@senado.gob.ar,8340 / 3471,,,,
LA LIBERTAD AVANZA,JUEZ,LUIS ALFREDO,CÓRDOBA,JUNTOS POR EL CAMBIO,2021-12-10,2027-12-09,2021-12-10,Sin Datos,luis.juez@senado.gob.ar,1374 / 1378,https://www.facebook.com/LuisAlfredoJuez,https://twitter.com/ljuez,https://www.instagram.com/luisalfredojuez,
UCR - UNIÓN CÍVICA RADICAL,JURI,MARIANA,MENDOZA,FRENTE CAMBIA MENDOZA,2021-12-10,2027-12-09,2021-12-10,Sin Datos,mariana.juri@senado.gob.ar,1450 / 1453,,https://twitter.com/mariana_juri,https://www.instagram.com/marianajuri.ok,
JUSTICIALISTA,KIRCHNER,ALICIA MARGARITA ANTONIA,SANTA CRUZ,ALIANZA UNIÓN POR LA PATRIA,2023-12-10,2029-12-09,2023-12-10,Sin Datos,alicia.kirchner@senado.gob.ar,1389 / 1390,,,,
UCR - UNIÓN CÍVICA RADICAL,KRONEBERGER,DANIEL RICARDO,LA PAMPA,JUNTOS POR EL CAMBIO,2021-12-10,2027-12-09,2021-12-10,Sin Datos,daniel.kroneberger@senado.gob.ar,1321 / 1324,https://www.facebook.com/kronebergerdaniel,https://twitter.com/Dkroneberger,https://www.instagram.com/kroneberger_daniel/?hl=en,
JUSTICIALISTA,LEWANDOWSKI,MARCELO NÉSTOR,SANTA FE,FRENTE DE TODOS,2021-12-10,2027-12-09,2021-12-10,Sin Datos,marcelo.lewandowski@senado.gob.ar,1213 / 1215,,,,
JUSTICIALISTA,LINARES,CARLOS ALBERTO,CHUBUT,FRENTE DE TODOS,2021-12-10,2027-12-09,2021-12-10,Sin Datos,carlos.linares@senado.gob.ar,1373 / 1371,https://www.facebook.com/LinaresCarlosCR,https://twitter.com/LinaresCarlosCR,https://www.instagram.com/carloslinarescr/,
JUSTICIALISTA,LÓPEZ,CÁNDIDA CRISTINA,"TIERRA DEL FUEGO, ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR",ALIANZA FRENTE DE TODOS,2025-12-10,2031-12-09,2025-12-10,Sin Datos,cristina.lopez@senado.gob.ar,1235,,,,
JUSTICIALISTA,LÓPEZ,MARÍA FLORENCIA,LA RIOJA,ALIANZA UNIÓN POR LA PATRIA,2023-12-10,2029-12-09,2023-12-10,Sin Datos,florencia.lopez@senado.gob.ar,1282 / 3530,https://www.facebook.com/share/19thWpNnL2/?mibextid=wwXIfr,https://twitter.com/florelop?s=21&t=Lw6vKRLT-9lZyXSvaCKo8Q,https://www.instagram.com/florelop?igsh=MW5vdndpcjB5NnN6Mw==,
UCR - UNIÓN CÍVICA RADICAL,LOSADA,CAROLINA,SANTA FE,JUNTOS POR EL CAMBIO,2021-12-10,2027-12-09,2021-12-10,Sin Datos,carolina.losada@senado.gob.ar,5421 / 1426,https://www.facebook.com/carolosada,https://twitter.com/carolinalosada,https://www.instagram.com/carolosada,https://www.youtube.com/@carolinalosadasenadora?si=biSelDnRlatwDG_o
JUSTICIALISTA,MANZUR,JUAN LUIS,TUCUMÁN,ALIANZA FRENTE DE TODOS,2023-12-09,2029-12-09,2023-12-09,Sin Datos,juan.manzur@senado.gob.ar,1354/1380,https://www.facebook.com/JuanManzurOficial/,https://twitter.com/JuanManzurOK,https://www.instagram.com/juanluismanzur/,https://www.youtube.com/@JuanManzurOK
JUSTICIALISTA,MARKS,ANA INÉS,RÍO NEGRO,FUERZA PATRIA,2025-12-10,2031-12-09,2025-12-10,Sin Datos,ana.marks@senado.gob.ar,3574 / 3577,https://www.facebook.com/AnaMarks.lc,https://twitter.com/AnaMarksLC,https://www.instagram.com/ana_marks.lc,
LA LIBERTAD AVANZA,MÁRQUEZ,NADIA JUDITH,NEUQUÉN,ALIANZA LA LIBERTAD AVANZA,2025-12-10,2031-12-09,2025-12-10,Sin Datos,nadia.marquez@senado.gob.ar,3556 / 3557,,,,
JUSTICIALISTA,MAYANS,JOSÉ MIGUEL ÁNGEL,FORMOSA,ALIANZA UNIÓN POR LA PATRIA,2023-12-10,2029-12-09,2023-12-10,Sin Datos,mayans@senado.gob.ar,1023 / 1036 / 1039,,,,
CONVICCIÓN FEDERAL,MENDOZA,SANDRA MARIELA,TUCUMÁN,FRENTE DE TODOS,2021-12-10,2027-12-09,2021-12-10,Sin Datos,sandra.mendoza@senado.gob.ar,1477/ 1479,https://www.facebook.com/sandramentuc,https://twitter.com/sandram_tuc,https://www.instagram.com/sandramendozasn,
CONVICCIÓN FEDERAL,MOISES,MARÍA CAROLINA,JUJUY,ALIANZA UNIÓN POR LA PATRIA,2023-12-10,2029-12-09,2023-12-10,Sin Datos,maria.moises@senado.gob.ar,3194,,,,
LA LIBERTAD AVANZA,MONTE DE OCA,MARÍA BELÉN,"TIERRA DEL FUEGO, ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR",ALIANZA LA LIBERTAD AVANZA,2025-12-10,2031-12-09,2025-12-10,Sin Datos,belen.montedeoca@senado.gob.ar,3462 / 3464,https://www.facebook.com/share/18EUEA89P7/?mibextid=wwXIfr,https://x.com/belenmontedeok?s=21,https://www.instagram.com/belen.montedeoca?igsh=MXdrYmZ1MDNjZDRhag%3D%3D&utm_source=qr,
LA LIBERTAD AVANZA,MONTEVERDE,AGUSTÍN ANÍBAL,CIUDAD AUTÓNOMA DE BUENOS AIRES,ALIANZA LA LIBERTAD AVANZA,2025-12-10,2031-12-09,2025-12-10,Sin Datos,agustin.monteverde@senado.gob.ar,1251 / 1255,,https://x.com/ag_monteverde?s=21&t=tTFPaM1-3qRhb-hzDz7MCQ,https://www.instagram.com/agustin_monteverde?igsh=Y2s1N3JycGNqZHpr,
FRENTE CÍVICO POR SANTIAGO,MORENO,ELIA ESTHER DEL CARMEN,SANTIAGO DEL ESTERO,FRENTE CÍVICO POR SANTIAGO,2025-12-10,2031-12-09,2025-12-10,Sin Datos,elia.moreno@senado.gob.ar,3504 / 3512,,,,
JUSTICIALISTA,NEDER,JOSÉ EMILIO,SANTIAGO DEL ESTERO,FRENTE FUERZA PATRIA PERONISTA,2025-12-10,2031-12-09,2025-12-10,Sin Datos,jose.neder@senado.gob.ar,1090 / 1093,,,,
LA LIBERTAD AVANZA,OLIVERA LUCERO,BRUNO ANTONIO,SAN JUAN,ALIANZA LA LIBERTAD AVANZA,2023-12-10,2029-12-09,2023-12-10,Sin Datos,bruno.olivera@senado.gob.ar,3436 / 3437,,https://x.com/brunooliverasj,https://www.instagram.com/bruno.olivera.ok,
LA LIBERTAD AVANZA,OROZCO,MARÍA EMILIA,SALTA,ALIANZA LA LIBERTAD AVANZA,2025-12-10,2031-12-09,2025-12-10,Sin Datos,maria.orozco@senado.gob.ar,,,,,
LA LIBERTAD AVANZA,PAGOTTO,JUAN CARLOS,LA RIOJA,ALIANZA LA LIBERTAD AVANZA,2023-12-10,2029-12-09,2023-12-10,Sin Datos,juan.pagotto@senado.gob.ar,1008,,,,
LA LIBERTAD AVANZA,PAOLTRONI,FRANCISCO MANUEL,FORMOSA,ALIANZA LA LIBERTAD AVANZA,2023-12-10,2029-12-09,2023-12-10,Sin Datos,francisco.paoltroni@senado.gob.ar,3872 / 3874,,,,
JUSTICIALISTA,RECALDE,MARIANO,CIUDAD AUTÓNOMA DE BUENOS AIRES,FUERZA PATRIA,2025-12-10,2031-12-09,2025-12-10,Sin Datos,mariano.recalde@senado.gob.ar,3429 / 3440,,,,
JUSTICIA SOCIAL FEDERAL,REJAL,JESÚS FERNANDO,LA RIOJA,ALIANZA UNIÓN POR LA PATRIA,2023-12-10,2029-12-09,2023-12-10,Sin Datos,jesus.rejal@senado.gob.ar,1011 / 1013,https://www.facebook.com/frejal?locale=es_LA,https://twitter.com/jfrejal,https://www.instagram.com/fernandorejal/,
ENCUENTRO MISIONERO,ROJAS DECUT,SONIA ELIZABETH,MISIONES,FRENTE RENOVADOR DE LA CONCORDIA-INNOVACIÓN FEDERAL,2023-12-10,2029-12-09,2023-12-10,Sin Datos,sonia.rojas@senado.gob.ar,3456 / 3459,https://www.facebook.com/100087662746565,https://x.com/decutrojas,https://www.instagram.com/soniarojasdecut,
PRIMERO LOS SALTEÑOS,ROYON,FLAVIA GABRIELA,SALTA,PRIMERO LOS SALTEÑOS,2025-12-10,2031-12-09,2025-12-10,Sin Datos,flavia.royon@senado.gob.ar,1222 / 1225,,,,
JUSTICIA SOCIAL FEDERAL,SALINO,FERNANDO ALDO,SAN LUIS,ALIANZA UNIÓN POR LA PATRIA,2023-12-10,2029-12-09,2023-12-10,Sin Datos,fernando.salino@senado.gob.ar,1521 / 1524,https://www.facebook.com/fersalino,https://twitter.com/Fernando_Salino,https://www.instagram.com/fernando_salino1,
UCR - UNIÓN CÍVICA RADICAL,SCHNEIDER,SILVANA LORENA,CHACO,ALIANZA LA LIBERTAD AVANZA,2025-12-10,2031-12-09,2025-12-10,Sin Datos,silvana.schneider@senado.gob.ar,1230 / 8718,,,,
JUSTICIALISTA,SORIA,MARTIN IGNACIO,RÍO NEGRO,FUERZA PATRIA,2025-12-10,2031-12-09,2025-12-10,Sin Datos,martin.soria@senado.gob.ar,1080 / 1072,,,,
UCR - UNIÓN CÍVICA RADICAL,SUÁREZ,RODOLFO ALEJANDRO,MENDOZA,FRENTE CAMBIA MENDOZA,2023-12-10,2029-12-09,2023-12-10,Sin Datos,rodolfo.suarez@senado.gob.ar,1460,https://www.facebook.com/RodolfoSuarezMendoza,https://twitter.com/rodysuarez,https://www.instagram.com/rody.suarez,
DESPIERTA CHUBUT,TERENZI,EDITH ELIZABETH,CHUBUT,JUNTOS POR EL CAMBIO CHUBUT,2021-12-10,2027-12-09,2021-12-10,Sin Datos,edith.terenzi@senado.gob.ar,3536 / 3539,,,,
JUSTICIALISTA,UÑAC,SERGIO MAURICIO,SAN JUAN,ALIANZA UNIÓN POR LA PATRIA,2023-12-10,2029-12-09,2023-12-10,Sin Datos,sergio.unac@senado.gob.ar,1433 / 1445,https://www.facebook.com/sergio.unac,https://twitter.com/sergiounac/,https://www.instagram.com/sergiounac,
UCR - UNIÓN CÍVICA RADICAL,VALENZUELA,MERCEDES GABRIELA,CORRIENTES,ECO + VAMOS CORRIENTES,2021-12-10,2027-12-09,2021-12-10,Sin Datos,mercedes.valenzuela@senado.gob.ar,3400 / 3402,https://www.facebook.com/gabivalenzuela.ok,https://twitter.com/GabiValenzuel,https://www.instagram.com/gabivalenzuela.ok,https://www.youtube.com/channel/UCvgbsNlq69OYs9jtNwwpH3g
PROVINCIAS UNIDAS,VIGO,ALEJANDRA MARÍA,CÓRDOBA,HACEMOS POR CÓRDOBA,2021-12-10,2027-12-09,2021-12-10,Sin Datos,alejandra.vigo@senado.gob.ar,1441 / 1444,https://www.facebook.com/VigoAlejandra,https://twitter.com/@alevigo,https://www.instagram.com/@vigo_alejandra,
UCR - UNIÓN CÍVICA RADICAL,VISCHI,EDUARDO ALEJANDRO,CORRIENTES,ECO + VAMOS CORRIENTES,2021-12-10,2027-12-09,2021-12-10,Sin Datos,eduardo.vischi@senado.gob.ar,3185 / 3188,https://www.facebook.com/PetecoVischi/,https://twitter.com/PeteCoVischi,https://www.instagram.com/petecovischi/,
FRENTE CÍVICO POR SANTIAGO,ZAMORA,GERARDO,SANTIAGO DEL ESTERO,FRENTE CÍVICO POR SANTIAGO,2025-12-10,2031-12-09,2025-12-10,Sin Datos,gerardo.zamora@senado.gob.ar,8763 / 8834,,https://twitter.com/GZamoraSDE,,
