nivel,objeto,taxonomia_id,area,principal,confianza,fuente,asignada_en
acta,argentinadatos:diputados:5156,ECON.PRESU,ECON,0,0.85,agente:texto,2026-07-22T22:00:06Z
acta,argentinadatos:diputados:5156,POLINST.CONST,POLINST,0,0.85,agente:texto,2026-07-22T22:00:06Z
acta,argentinadatos:diputados:5157,DESREG.DESECO,DESREG,0,0.95,agente:texto,2026-07-22T22:00:10Z
acta,argentinadatos:diputados:5157,DESREG.MODEST,DESREG,0,0.95,agente:texto,2026-07-22T22:00:10Z
acta,argentinadatos:diputados:5157,ECON.PRESU,ECON,0,0.95,agente:texto,2026-07-22T22:00:10Z
acta,argentinadatos:diputados:5157,POLINST.CONST,POLINST,1,0.95,agente:texto,2026-07-22T22:00:10Z
acta,argentinadatos:diputados:5158,DESREG.DESECO,DESREG,0,0.85,agente:texto,2026-07-22T22:00:13Z
acta,argentinadatos:diputados:5158,ECON.PRESU,ECON,0,0.85,agente:texto,2026-07-22T22:00:13Z
acta,argentinadatos:diputados:5158,POLINST.CONST,POLINST,1,0.85,agente:texto,2026-07-22T22:00:13Z
acta,argentinadatos:diputados:5161,DESREG.DESECO,DESREG,0,0.85,agente:texto,2026-07-22T22:00:21Z
acta,argentinadatos:diputados:5161,DESREG.MODEST,DESREG,0,0.85,agente:texto,2026-07-22T22:00:21Z
acta,argentinadatos:diputados:5161,ECON.TRIB,ECON,0,0.85,agente:texto,2026-07-22T22:00:21Z
acta,argentinadatos:diputados:5161,POLINST.CONST,POLINST,1,0.85,agente:texto,2026-07-22T22:00:21Z
acta,argentinadatos:diputados:5162,DESREG.DESECO,DESREG,0,0.95,agente:texto,2026-07-22T21:47:14Z
acta,argentinadatos:diputados:5162,DESREG.EMPUB,DESREG,0,0.95,agente:texto,2026-07-22T21:47:14Z
acta,argentinadatos:diputados:5162,DESREG.MODEST,DESREG,0,0.95,agente:texto,2026-07-22T21:47:14Z
acta,argentinadatos:diputados:5162,ECON.TRIB,ECON,0,0.95,agente:texto,2026-07-22T21:47:14Z
acta,argentinadatos:diputados:5162,POLINST.CONST,POLINST,1,0.95,agente:texto,2026-07-22T21:47:14Z
acta,argentinadatos:diputados:5164,DESREG.DESECO,DESREG,0,0.85,agente:texto,2026-07-22T21:47:22Z
acta,argentinadatos:diputados:5164,ECON.PRESU,ECON,0,0.85,agente:texto,2026-07-22T21:47:22Z
acta,argentinadatos:diputados:5164,POLINST.CONST,POLINST,1,0.85,agente:texto,2026-07-22T21:47:22Z
acta,argentinadatos:diputados:5165,DESREG.DESECO,DESREG,1,0.85,agente:texto,2026-07-22T21:47:26Z
acta,argentinadatos:diputados:5165,ECON.PRESU,ECON,0,0.85,agente:texto,2026-07-22T21:47:26Z
acta,argentinadatos:diputados:5165,POLINST.CONST,POLINST,0,0.85,agente:texto,2026-07-22T21:47:26Z
acta,argentinadatos:diputados:5166,DESREG.DESECO,DESREG,0,0.95,agente:texto,2026-07-22T21:47:18Z
acta,argentinadatos:diputados:5166,DESREG.MODEST,DESREG,0,0.95,agente:texto,2026-07-22T21:47:18Z
acta,argentinadatos:diputados:5166,DESREG.SOCIED,DESREG,0,0.95,agente:texto,2026-07-22T21:47:18Z
acta,argentinadatos:diputados:5166,ECON.TRIB,ECON,0,0.95,agente:texto,2026-07-22T21:47:18Z
acta,argentinadatos:diputados:5166,POLINST.CONST,POLINST,1,0.95,agente:texto,2026-07-22T21:47:18Z
acta,argentinadatos:diputados:5166,TRAB.LABOR,TRAB,0,0.95,agente:texto,2026-07-22T21:47:18Z
acta,argentinadatos:diputados:5168,DESREG.DESECO,DESREG,0,0.85,agente:texto,2026-07-22T21:47:30Z
acta,argentinadatos:diputados:5168,DESREG.MODEST,DESREG,0,0.85,agente:texto,2026-07-22T21:47:30Z
acta,argentinadatos:diputados:5168,POLINST.CONST,POLINST,1,0.85,agente:texto,2026-07-22T21:47:30Z
acta,argentinadatos:diputados:5170,DESREG.DESECO,DESREG,0,0.95,agente:texto,2026-07-22T21:49:21Z
acta,argentinadatos:diputados:5170,DESREG.EMPUB,DESREG,0,0.95,agente:texto,2026-07-22T21:49:21Z
acta,argentinadatos:diputados:5170,ECON.TRIB,ECON,0,0.95,agente:texto,2026-07-22T21:49:21Z
acta,argentinadatos:diputados:5170,POLINST.CONST,POLINST,1,0.95,agente:texto,2026-07-22T21:49:21Z
acta,argentinadatos:diputados:5171,DESREG.DESECO,DESREG,1,0.85,agente:texto,2026-07-22T21:49:25Z
acta,argentinadatos:diputados:5171,DESREG.MODEST,DESREG,0,0.85,agente:texto,2026-07-22T21:49:25Z
acta,argentinadatos:diputados:5171,ECON.PRESU,ECON,0,0.85,agente:texto,2026-07-22T21:49:25Z
acta,argentinadatos:diputados:5171,POLINST.CONST,POLINST,0,0.85,agente:texto,2026-07-22T21:49:25Z
acta,argentinadatos:diputados:5172,DESREG.DESECO,DESREG,1,0.9,agente:texto,2026-07-22T21:49:29Z
acta,argentinadatos:diputados:5172,DESREG.MODEST,DESREG,0,0.9,agente:texto,2026-07-22T21:49:29Z
acta,argentinadatos:diputados:5172,ECON.PRESU,ECON,0,0.9,agente:texto,2026-07-22T21:49:29Z
acta,argentinadatos:diputados:5172,POLINST.CONST,POLINST,0,0.9,agente:texto,2026-07-22T21:49:29Z
acta,argentinadatos:diputados:5173,DESREG.DESECO,DESREG,0,0.9,agente:texto,2026-07-22T21:47:42Z
acta,argentinadatos:diputados:5173,DESREG.MODEST,DESREG,0,0.9,agente:texto,2026-07-22T21:47:42Z
acta,argentinadatos:diputados:5173,ECON.PRESU,ECON,0,0.9,agente:texto,2026-07-22T21:47:42Z
acta,argentinadatos:diputados:5173,POLINST.CONST,POLINST,1,0.9,agente:texto,2026-07-22T21:47:42Z
acta,argentinadatos:diputados:5173,POLINST.ORGEST,POLINST,0,0.9,agente:texto,2026-07-22T21:47:42Z
acta,argentinadatos:diputados:5174,DESREG.DESECO,DESREG,1,0.85,agente:texto,2026-07-22T21:47:51Z
acta,argentinadatos:diputados:5174,DESREG.MODEST,DESREG,0,0.85,agente:texto,2026-07-22T21:47:51Z
acta,argentinadatos:diputados:5174,ECON.PRESU,ECON,0,0.85,agente:texto,2026-07-22T21:47:51Z
acta,argentinadatos:diputados:5174,POLINST.CONST,POLINST,0,0.85,agente:texto,2026-07-22T21:47:51Z
acta,argentinadatos:diputados:5175,DESREG.DESECO,DESREG,0,0.9,agente:texto,2026-07-22T21:47:55Z
acta,argentinadatos:diputados:5175,DESREG.MODEST,DESREG,0,0.9,agente:texto,2026-07-22T21:47:55Z
acta,argentinadatos:diputados:5175,ECON.PRESU,ECON,0,0.9,agente:texto,2026-07-22T21:47:55Z
acta,argentinadatos:diputados:5175,POLINST.CONST,POLINST,1,0.9,agente:texto,2026-07-22T21:47:55Z
acta,argentinadatos:diputados:5176,DESREG.DESECO,DESREG,0,0.85,agente:texto,2026-07-22T21:47:48Z
acta,argentinadatos:diputados:5176,DESREG.MODEST,DESREG,0,0.85,agente:texto,2026-07-22T21:47:48Z
acta,argentinadatos:diputados:5176,ECON.PRESU,ECON,0,0.85,agente:texto,2026-07-22T21:47:48Z
acta,argentinadatos:diputados:5176,POLINST.CONST,POLINST,1,0.85,agente:texto,2026-07-22T21:47:48Z
acta,argentinadatos:diputados:5177,DESREG.DESECO,DESREG,1,0.85,agente:texto,2026-07-22T21:48:00Z
acta,argentinadatos:diputados:5177,DESREG.MODEST,DESREG,0,0.85,agente:texto,2026-07-22T21:48:00Z
acta,argentinadatos:diputados:5177,ECON.PRESU,ECON,0,0.85,agente:texto,2026-07-22T21:48:00Z
acta,argentinadatos:diputados:5177,POLINST.CONST,POLINST,0,0.85,agente:texto,2026-07-22T21:48:00Z
acta,argentinadatos:diputados:5178,DESREG.DESECO,DESREG,0,0.9,agente:texto,2026-07-22T21:48:04Z
acta,argentinadatos:diputados:5178,DESREG.EMPUB,DESREG,0,0.9,agente:texto,2026-07-22T21:48:04Z
acta,argentinadatos:diputados:5178,DESREG.MODEST,DESREG,0,0.9,agente:texto,2026-07-22T21:48:04Z
acta,argentinadatos:diputados:5178,ECON.TRIB,ECON,0,0.9,agente:texto,2026-07-22T21:48:04Z
acta,argentinadatos:diputados:5178,POLINST.CONST,POLINST,1,0.9,agente:texto,2026-07-22T21:48:04Z
acta,argentinadatos:diputados:5180,DESREG.DESECO,DESREG,0,0.95,agente:texto,2026-07-22T21:48:07Z
acta,argentinadatos:diputados:5180,DESREG.MODEST,DESREG,0,0.95,agente:texto,2026-07-22T21:48:07Z
acta,argentinadatos:diputados:5180,POLINST.CONST,POLINST,1,0.95,agente:texto,2026-07-22T21:48:07Z
acta,argentinadatos:diputados:5181,DESREG.DESECO,DESREG,0,0.95,agente:texto,2026-07-22T21:48:11Z
acta,argentinadatos:diputados:5181,DESREG.MODEST,DESREG,0,0.95,agente:texto,2026-07-22T21:48:11Z
acta,argentinadatos:diputados:5181,POLINST.CONST,POLINST,1,0.95,agente:texto,2026-07-22T21:48:11Z
acta,argentinadatos:diputados:5182,DESREG.DESECO,DESREG,1,0.85,agente:texto,2026-07-22T21:46:27Z
acta,argentinadatos:diputados:5182,DESREG.MODEST,DESREG,0,0.85,agente:texto,2026-07-22T21:46:27Z
acta,argentinadatos:diputados:5182,POLINST.CONST,POLINST,0,0.85,agente:texto,2026-07-22T21:46:27Z
acta,argentinadatos:diputados:5190,AUX.TRAMITE,AUX,1,0.95,agente:texto,2026-07-22T21:46:39Z
acta,argentinadatos:diputados:5192,ECON.PRESU,ECON,0,0.85,agente:texto,2026-07-22T21:48:35Z
acta,argentinadatos:diputados:5192,ECON.TRIB,ECON,1,0.85,agente:texto,2026-07-22T21:48:35Z
acta,argentinadatos:diputados:5195,ECON.TRIB,ECON,1,0.95,agente:texto,2026-07-22T21:48:39Z
acta,argentinadatos:diputados:5196,ECON.PRESU,ECON,1,0.85,agente:texto,2026-07-22T21:46:51Z
acta,argentinadatos:diputados:5196,ECON.TRIB,ECON,0,0.85,agente:texto,2026-07-22T21:46:51Z
acta,argentinadatos:diputados:5197,ECON.TRIB,ECON,1,0.95,agente:texto,2026-07-22T21:46:53Z
acta,argentinadatos:diputados:5198,DESREG.DESECO,DESREG,0,0.95,agente:texto,2026-07-22T21:46:56Z
acta,argentinadatos:diputados:5198,ECON.TRIB,ECON,1,0.95,agente:texto,2026-07-22T21:46:56Z
acta,argentinadatos:diputados:5198,PROD.INDPYME,PROD,0,0.95,agente:texto,2026-07-22T21:46:56Z
acta,argentinadatos:diputados:5199,ECON.TRIB,ECON,0,0.85,agente:texto,2026-07-22T21:47:00Z
acta,argentinadatos:diputados:5199,POLINST.ETICA,POLINST,1,0.85,agente:texto,2026-07-22T21:47:00Z
acta,argentinadatos:diputados:5200,ECON.PRESU,ECON,1,0.85,agente:texto,2026-07-22T21:47:03Z
acta,argentinadatos:diputados:5200,ECON.TRIB,ECON,0,0.85,agente:texto,2026-07-22T21:47:03Z
acta,argentinadatos:diputados:5212,AUX.TRAMITE,AUX,1,0.95,agente:texto,2026-07-22T21:46:33Z
acta,argentinadatos:diputados:5214,DESREG.DESECO,DESREG,0,0.95,agente:texto,2026-07-22T21:46:31Z
acta,argentinadatos:diputados:5214,DESREG.MODEST,DESREG,0,0.95,agente:texto,2026-07-22T21:46:31Z
acta,argentinadatos:diputados:5214,ECON.TRIB,ECON,0,0.95,agente:texto,2026-07-22T21:46:31Z
acta,argentinadatos:diputados:5214,POLINST.CONST,POLINST,1,0.95,agente:texto,2026-07-22T21:46:31Z
acta,argentinadatos:diputados:5215,DESREG.DESECO,DESREG,0,0.85,agente:texto,2026-07-22T21:48:25Z
acta,argentinadatos:diputados:5215,DESREG.MODEST,DESREG,0,0.85,agente:texto,2026-07-22T21:48:25Z
acta,argentinadatos:diputados:5215,ECON.PRESU,ECON,0,0.85,agente:texto,2026-07-22T21:48:25Z
acta,argentinadatos:diputados:5215,POLINST.CONST,POLINST,1,0.85,agente:texto,2026-07-22T21:48:25Z
acta,argentinadatos:diputados:5216,DESREG.DESECO,DESREG,1,0.85,agente:texto,2026-07-22T21:46:36Z
acta,argentinadatos:diputados:5216,ECON.PRESU,ECON,0,0.85,agente:texto,2026-07-22T21:46:36Z
acta,argentinadatos:diputados:5216,POLINST.CONST,POLINST,0,0.85,agente:texto,2026-07-22T21:46:36Z
acta,argentinadatos:diputados:5217,DESREG.DESECO,DESREG,0,0.9,agente:texto,2026-07-22T21:59:49Z
acta,argentinadatos:diputados:5217,DESREG.MODEST,DESREG,0,0.9,agente:texto,2026-07-22T21:59:49Z
acta,argentinadatos:diputados:5217,ECON.PRESU,ECON,0,0.9,agente:texto,2026-07-22T21:59:49Z
acta,argentinadatos:diputados:5217,POLINST.CONST,POLINST,1,0.9,agente:texto,2026-07-22T21:59:49Z
acta,argentinadatos:diputados:5218,ECON.PRESU,ECON,1,0.85,agente:texto,2026-07-22T21:48:33Z
acta,argentinadatos:diputados:5218,ECON.TRIB,ECON,0,0.85,agente:texto,2026-07-22T21:48:33Z
acta,argentinadatos:diputados:5219,DESREG.DESECO,DESREG,0,0.85,agente:texto,2026-07-22T22:00:17Z
acta,argentinadatos:diputados:5219,DESREG.MODEST,DESREG,0,0.85,agente:texto,2026-07-22T22:00:17Z
acta,argentinadatos:diputados:5219,ECON.PRESU,ECON,0,0.85,agente:texto,2026-07-22T22:00:17Z
acta,argentinadatos:diputados:5219,POLINST.CONST,POLINST,1,0.85,agente:texto,2026-07-22T22:00:17Z
acta,argentinadatos:diputados:5220,DESREG.DESECO,DESREG,0,0.95,agente:texto,2026-07-22T21:59:56Z
acta,argentinadatos:diputados:5220,DESREG.EMPUB,DESREG,0,0.95,agente:texto,2026-07-22T21:59:56Z
acta,argentinadatos:diputados:5220,DESREG.MODEST,DESREG,0,0.95,agente:texto,2026-07-22T21:59:56Z
acta,argentinadatos:diputados:5220,ECON.TRIB,ECON,0,0.95,agente:texto,2026-07-22T21:59:56Z
acta,argentinadatos:diputados:5220,POLINST.CONST,POLINST,1,0.95,agente:texto,2026-07-22T21:59:56Z
acta,argentinadatos:diputados:5220,TRAB.LABOR,TRAB,0,0.95,agente:texto,2026-07-22T21:59:56Z
acta,argentinadatos:diputados:5231,AUX.TRAMITE,AUX,1,0.95,agente:texto,2026-07-22T21:45:45Z
acta,argentinadatos:diputados:5232,AUX.TRAMITE,AUX,1,0.95,agente:texto,2026-07-22T21:45:43Z
acta,argentinadatos:diputados:5233,AUX.TRAMITE,AUX,1,1.0,agente:texto,2026-07-22T21:47:05Z
acta,argentinadatos:diputados:5234,AUX.TRAMITE,AUX,1,0.95,agente:texto,2026-07-22T21:47:07Z
acta,argentinadatos:diputados:5235,AUX.TRAMITE,AUX,1,0.95,agente:texto,2026-07-22T21:47:10Z
acta,argentinadatos:diputados:5253,AUX.TRAMITE,AUX,1,0.95,agente:texto,2026-07-22T21:45:50Z
acta,argentinadatos:diputados:5254,AUX.TRAMITE,AUX,1,0.95,agente:texto,2026-07-22T21:45:53Z
acta,argentinadatos:diputados:5256,AUX.TRAMITE,AUX,1,0.95,agente:texto,2026-07-22T21:47:32Z
acta,argentinadatos:diputados:5258,AUX.TRAMITE,AUX,1,0.95,agente:texto,2026-07-22T21:45:48Z
acta,argentinadatos:diputados:5260,TRAB.PREV,TRAB,1,0.95,agente:texto,2026-07-22T21:47:35Z
acta,argentinadatos:diputados:5261,TRAB.PREV,TRAB,1,0.99,manual,2026-09-07T19:08:32Z
acta,argentinadatos:diputados:5262,TRAB.PREV,TRAB,1,0.95,agente:texto,2026-07-22T21:46:04Z
acta,argentinadatos:diputados:5263,TRAB.PREV,TRAB,1,0.95,agente:texto,2026-07-22T21:46:07Z
acta,argentinadatos:diputados:5264,TRAB.PREV,TRAB,1,0.95,agente:texto,2026-07-22T21:46:09Z
